line,type,context,talking,talking_to,words,episode
585,dialogue,,colton,caelynn,I got dumped before Thailand so we have something sort of in common.,1
586,dialogue,laughs,caelynn,colton,That's great. I love to travel. I'm at this point in my life where I am young and my goal is to eventually get married and so that's why I'm here.,1
587,dialogue,,colton,caelynn,How old are you?,1
588,dialogue,,caelynn,colton,I'm 23.,1
589,dialogue,,colton,caelynn,23.,1
590,dialogue,,caelynn,colton,"Yeah, I know that is young but I have gone through so much that it's aged me, so I'm more than ready for marriage.",1
591,dialogue,,colton,caelynn,"My parents had me when they were 24. That's how I am, too. Everyone is like, you are so young at 26, I am like ‐‐",1
592,dialogue,,caelynn,colton,People are critical.,1
593,dialogue,,colton,caelynn,"My mom had me when she was 24, and I am sort of the same way, my life experience has made me more of a man than most 30‐year‐olds.",1
594,dialogue,,caelynn,colton,"That's exactly how I feel. Yes, absolutely.",1
595,dialogue,,colton,caelynn,We can relate on that.,1
596,dialogue,,caelynn,colton,Yeah.,1
597,dialogue,,jane,women,"There is no way this night is going to end and, like, no one has kissed Colton.",1
598,dialogue,,erin,women,I think that he needs to make that move because he's slower.,1
599,dialogue,,jane,women,"Can you imagine if, like he made that move? That would be be pretty crazy.",1
600,dialogue,,erin,women,"Yeah, that's big.",1
601,dialogue,,colton,caelynn,You have beautiful eyes!,1
602,dialogue,,caelynn,colton,"So do you! I am like, wow. I'm just like drawn.",1
603,testimony,laughs,caelynn,aside,"He kisses very well for a virgin. I was shocked at how he just took the initiative and like drew in and I was like, wow. He's ‐‐ yeah. I was about it.",1
604,dialogue,,caelynn,colton,It was good talking to you.,1
605,dialogue,,colton,caelynn,"It was very nice talking with you, too.",1
606,testimony,,caelynn,aside,So I hope I made a good impression on him.,1
607,sound,contestants exclaim,,,,1
608,dialogue,,chris,women,"Good evening, hi. Hi, everybody.",1
609,dialogue,,women,chris,"Hey, Chris.",1
610,sound,contestants exclaim,,,,1
611,dialogue,,chris,women,I will leave that there. Everybody having a good night? Hopefully that continues. See you guys in a bit.,1
612,dialogue,,women,chris,Bye!,1
